# Steps Error
16 4.987320315251509e-03
32 2.456634284669690e-03
64 1.213258538882656e-03
128 5.970086903630545e-04
256 2.902357092580132e-04
512 1.371862138626057e-04
1024 6.074558848467859e-05
2048 2.254629015396858e-05
4096 3.451893405781448e-06
8192 6.093993647482421e-06
16384 1.086660824967112e-05
32768 1.325283471942384e-05
65536 1.444592294319591e-05
