run_number,execution_time
1,1.0388998985290527
2,1.1113336086273193
3,1.0506303310394287
4,1.0389790534973145
5,1.0348131656646729
6,1.0211243629455566
7,1.2578577995300293
8,1.361224889755249
9,1.1603732109069824
10,1.1085517406463623
11,1.050635814666748
12,1.0621402263641357
13,1.0815844535827637
14,1.082606315612793
15,1.052642583847046
16,1.0413658618927002
17,1.0503671169281006
18,1.0881950855255127
19,1.0665783882141113
20,1.0710201263427734
21,1.0745458602905273
22,1.06679105758667
23,1.051750659942627
24,1.0581245422363281
25,1.0888302326202393
26,1.0764539241790771
27,1.0861585140228271
28,1.048853874206543
29,1.056941032409668
30,1.0459327697753906
31,1.0722923278808594
32,1.0678400993347168
33,1.051591157913208
34,1.0878393650054932
35,1.0650410652160645
36,1.0599751472473145
37,1.0881106853485107
38,1.0610322952270508
39,1.0473930835723877
40,1.0776772499084473
41,1.0915930271148682
42,1.050065517425537
43,1.0866968631744385
44,1.079685926437378
45,1.059701681137085
46,1.0620832443237305
47,1.0560433864593506
48,1.044119119644165
49,1.080230712890625
50,1.0620627403259277
51,1.0691368579864502
52,1.0519158840179443
53,1.0660295486450195
54,1.065105676651001
55,1.062187910079956
56,1.0546467304229736
57,1.051499843597412
58,1.0647029876708984
59,1.065763235092163
60,1.0513026714324951
61,1.050797700881958
62,1.0762858390808105
63,1.0614254474639893
64,1.0525591373443604
65,1.0570368766784668
66,1.0587944984436035
67,1.1042015552520752
68,1.0685546398162842
69,1.1165821552276611
70,1.1495516300201416
71,1.0897204875946045
72,1.3500816822052002
73,1.1132960319519043
74,1.0798978805541992
75,1.241746425628662
76,1.1040828227996826
77,1.3650414943695068
78,1.415215253829956
79,1.4319350719451904
80,1.057286024093628
81,1.052236557006836
82,1.0446016788482666
83,1.040679693222046
84,1.0507354736328125
85,1.0524013042449951
86,1.0557422637939453
87,1.0564601421356201
88,1.0487101078033447
89,1.0373728275299072
90,1.0268912315368652
91,1.0325100421905518
92,1.0385899543762207
93,1.0570709705352783
94,1.0458307266235352
95,1.042524814605713
96,1.0391230583190918
97,1.039118766784668
98,1.0623772144317627
99,1.051321268081665
100,1.0557408332824707
