# x y_double y_float e_abs e_rel
0.010000000000000 10.000000000000000 10.000000000000000 0.000000000000000 0.000000000000000
0.020000000000000 7.071067811865476 7.071068286895752 -0.000000475030276 -0.000000067179426
0.030000000000000 5.773502691896257 5.773502826690674 -0.000000134794417 -0.000000023347078
0.040000000000000 5.000000000000000 5.000000000000000 0.000000000000000 0.000000000000000
0.050000000000000 4.472135954999580 4.472136020660400 -0.000000065660821 -0.000000014682206
0.060000000000000 4.082482904638630 4.082482814788818 0.000000089849811 0.000000022008619
0.070000000000000 3.779644730092272 3.779644727706909 0.000000002385363 0.000000000631108
0.080000000000000 3.535533905932738 3.535534143447876 -0.000000237515138 -0.000000067179426
0.090000000000000 3.333333333333333 3.333333253860474 0.000000079472860 0.000000023841858
0.100000000000000 3.162277660168379 3.162277698516846 -0.000000038348467 -0.000000012126850
0.110000000000000 3.015113445777637 3.015113353729248 0.000000092048388 0.000000030528997
0.120000000000000 2.886751345948129 2.886751413345337 -0.000000067397208 -0.000000023347078
0.130000000000000 2.773500981126146 2.773501157760620 -0.000000176634474 -0.000000063686465
0.140000000000000 2.672612419124244 2.672612428665161 -0.000000009540917 -0.000000003569884
0.150000000000000 2.581988897471611 2.581988811492920 0.000000085978691 0.000000033299404
0.160000000000000 2.500000000000000 2.500000000000000 0.000000000000000 0.000000000000000
0.170000000000000 2.425356250363329 2.425356149673462 0.000000100689868 0.000000041515496
0.180000000000000 2.357022603955158 2.357022523880005 0.000000080075153 0.000000033973010
0.190000000000000 2.294157338705618 2.294157266616821 0.000000072088796 0.000000031422778
0.200000000000000 2.236067977499789 2.236068010330200 -0.000000032830411 -0.000000014682206
0.210000000000000 2.182178902359924 2.182178974151611 -0.000000071791688 -0.000000032899084
0.220000000000000 2.132007163556104 2.132007122039795 0.000000041516309 0.000000019472875
0.230000000000000 2.085144140570747 2.085144281387329 -0.000000140816582 -0.000000067533260
0.240000000000000 2.041241452319315 2.041241407394409 0.000000044924906 0.000000022008619
0.250000000000000 2.000000000000000 2.000000000000000 0.000000000000000 0.000000000000000
0.260000000000000 1.961161351381840 1.961161375045776 -0.000000023663936 -0.000000012066287
0.270000000000000 1.924500897298752 1.924500942230225 -0.000000044931472 -0.000000023347078
0.280000000000000 1.889822365046136 1.889822363853455 0.000000001192681 0.000000000631108
0.290000000000000 1.856953381770518 1.856953501701355 -0.000000119930837 -0.000000064584732
0.300000000000000 1.825741858350554 1.825741767883301 0.000000090467253 0.000000049550955
0.310000000000000 1.796053020267748 1.796052932739258 0.000000087528491 0.000000048733801
0.320000000000000 1.767766952966368 1.767767071723938 -0.000000118757570 -0.000000067179426
0.330000000000000 1.740776559556978 1.740776538848877 0.000000020708101 0.000000011895898
0.340000000000000 1.714985851425088 1.714985847473145 0.000000003951943 0.000000002304359
0.350000000000000 1.690308509457033 1.690308451652527 0.000000057804506 0.000000034197607
0.360000000000000 1.666666666666667 1.666666626930237 0.000000039736430 0.000000023841858
0.370000000000000 1.643989873053572 1.643989920616150 -0.000000047562577 -0.000000028931186
0.380000000000000 1.622214211307625 1.622214317321777 -0.000000106014152 -0.000000065351513
0.390000000000000 1.601281538050871 1.601281523704529 0.000000014346342 0.000000008959288
