Iteration,Residual,std_residual,Pi,std_pi,Time,std_time
1000,0.012072670288379075,0.008399402917799906,3.136280000000001,0.046052249640703764,6.684949999999999e-06,1.661333670016747e-06
1027,0.011844917175710498,0.00798366967852808,3.1363972736119994,0.044727250091282894,2.8811319999999998e-05,0.000231539675360047
1055,0.011602534135652829,0.007698493706143655,3.1366445497659994,0.04361494828807073,6.584840000000001e-06,4.2182582264065416e-07
1084,0.01114068670188637,0.007264185483495886,3.1363468634549996,0.04159741834781755,6.11996e-06,6.426748069395186e-07
1114,0.011119325617495242,0.00755738021535996,3.1363375224470014,0.04205229071380524,6.6611699999999994e-06,5.060973087851741e-07
1145,0.010717551925296718,0.007467648040788289,3.1363144104840006,0.04083353164408135,5.70266e-06,8.144915278189754e-07
1176,0.010548145218295639,0.007235072512686658,3.1369047619030006,0.040045677735137675,6.974580000000001e-06,1.1646537889350671e-06
1208,0.011289795823544198,0.007691912500410104,3.1378145695330004,0.042897595646972736,7.391350000000002e-06,2.8157763569616534e-06
1241,0.011981288846270059,0.008725882320130503,3.1368573730809994,0.0464751311580747,6.734609999999999e-06,1.5995525882968877e-06
1276,0.011441998750507927,0.00823556824665567,3.136708463952,0.0441642313621805,5.8601e-06,2.4690085831844295e-06
1311,0.011229525428725386,0.008206323254253153,3.1366285278449997,0.04355359193845751,8.85772e-06,1.1294906223049165e-05
1347,0.010939398735131728,0.008352511777869996,3.136035634744,0.04301610652004194,7.718709999999998e-06,6.509235827381326e-06
1384,0.010688579614162575,0.008163415785373525,3.1350867052010005,0.041879811572050604,6.0958399999999996e-06,5.4161203355624336e-06
1422,0.010503189926953422,0.008093889338251595,3.1336427566830007,0.04101843251388497,7.387260000000001e-06,2.279870719443043e-06
1461,0.010278301618532795,0.007727321957273504,3.1343737166300003,0.03987330928006042,5.843019999999999e-06,2.69538325079883e-07
1501,0.010010515457002746,0.007676401107887326,3.1347634910020004,0.03916001056995591,6.100049999999999e-06,3.932991280389032e-06
1542,0.00968566393443173,0.007535910552859028,3.134552529188,0.03802197928877021,5.810989999999999e-06,8.003783006437733e-07
1584,0.009562933910996198,0.007484228620412378,3.1346464646479997,0.03762692170858037,6.2803799999999995e-06,1.0475719861959968e-06
1628,0.009268146524373943,0.007366525937786938,3.134766584765,0.036672377204774086,1.60643e-05,3.563601547932126e-05
1673,0.008993873568840094,0.007171037995018745,3.135588762691999,0.03574263140187725,5.75141e-06,2.553683849269561e-07
1719,0.009255589757686087,0.007257612490722221,3.136684118672,0.036736265918674904,5.65679e-06,7.184313902699774e-07
1766,0.009517232191266678,0.007135085973577863,3.136896942240999,0.037191125729998636,5.9233000000000005e-06,4.324194909594341e-07
1814,0.010192590873237175,0.0078093259345112225,3.1380595369360003,0.04031121291816666,6.15997e-06,7.421858578386937e-07
1864,0.010137465908962135,0.007609719873507088,3.1384120171649994,0.03982255266379759,6.034230000000001e-06,1.0380313910416576e-06
1915,0.010058094429430862,0.007484443817070948,3.139070496086,0.0394333069614652,5.978590000000002e-06,2.867460811423672e-07
1968,0.009542946475366628,0.007247568241294815,3.1383536585359995,0.037625899668854546,5.7247599999999995e-06,3.491326661684045e-07
2022,0.009376130969220851,0.007087481178996805,3.1378239366979996,0.03684896624959422,6.973050000000001e-06,9.184229890101969e-06
2078,0.009073029419914771,0.006834101867993804,3.137882579399,0.0356051522815002,5.98129e-06,1.4226924630233457e-06
2135,0.009053117979860824,0.006872549193067167,3.138079625285,0.0356478268151926,6.132340000000001e-06,2.5773235048959e-06
2193,0.008762556793844163,0.006529301299678162,3.1380939352499992,0.03426165022727059,6.65203e-06,4.459453731674934e-06
2253,0.008601266470154037,0.006343847671391656,3.1382334664859997,0.0335163338450887,6.42504e-06,2.7499165751166e-06
2315,0.008615093488288325,0.006497287712028146,3.1380043196569996,0.03381650884870002,6.18115e-06,1.8999860359667611e-06
2379,0.008333055783055156,0.006183729566270988,3.137536780164,0.03245071509295238,6.6940199999999995e-06,2.7845332089086584e-06
2444,0.008142553276591755,0.005900038589836669,3.1380687397750004,0.03149600195854625,6.7005000000000005e-06,4.130397274653451e-06
2511,0.008011622782552647,0.005917957869678009,3.138351254481,0.031223917557247478,6.57353e-06,3.5398044158005702e-06
2580,0.007759583099785019,0.005860452238682284,3.1385271317849996,0.030491652828596755,6.321420000000001e-06,2.966564581151305e-07
2651,0.007812937165210334,0.005773677106042176,3.13810637495,0.030418341589592522,6.10966e-06,3.410147133885498e-07
2724,0.007636157828475793,0.005620926194485667,3.1380910425799997,0.029677633386735968,6.324930000000001e-06,4.914031703790544e-07
2799,0.0077165007002112365,0.005469118439077135,3.1381636298690005,0.029613357747462366,6.21234e-06,2.862819201028556e-07
2876,0.00750741847975045,0.005508838189658459,3.1385396383830004,0.029188759085331282,6.31924e-06,2.535389962634203e-07
2955,0.007380439932630402,0.005437098323199288,3.1389509306239995,0.02877069631590623,7.03779e-06,1.847505953544897e-06
3036,0.007398658508783019,0.0053352224399292126,3.139249011859,0.028654964658594597,6.256920000000002e-06,5.636021714620763e-07
3119,0.007422968229430172,0.00509277278897053,3.1396088489870007,0.028307578040830533,6.8428200000000005e-06,1.0338873332127527e-06
3205,0.00733194404974305,0.00497161674674485,3.139819032758999,0.027869208500095888,7.88465e-06,1.6880436011830233e-06
3293,0.007220183405472753,0.004872839587648669,3.1397752808979993,0.027399328241815474,7.977240000000002e-06,1.623507458273816e-06
3383,0.007098240737644539,0.004797302770891878,3.139154596526999,0.02689682693140858,8.320170000000002e-06,1.0122056829248957e-06
3476,0.006989220762821052,0.004924724183246129,3.139309551211,0.026853187363489538,1.070889e-05,2.124899794138609e-05
3572,0.006683026486201257,0.004761652960871545,3.139059350508999,0.02574007770434793,7.658350000000001e-06,1.2552354069128535e-06
3670,0.006544139288934024,0.004659662260413266,3.139237057217,0.025211726628285906,1.2059699999999997e-05,2.1589875489837052e-05
3771,0.0064588659820061746,0.004531382040128135,3.13922036595,0.02475602648230258,8.014030000000002e-06,2.2012053927130678e-06
3874,0.0062373451911395365,0.004488719000432895,3.1392049561189994,0.024102910381486865,7.868149999999999e-06,3.06198733041405e-06
3981,0.006026733406875242,0.004446294447364533,3.1392413966289996,0.023486873370968685,7.61659e-06,2.336920809656601e-06
4090,0.005942822225747986,0.004321017786116152,3.1395696821500003,0.023070123228692264,9.488399999999999e-06,3.864072112801377e-06
4202,0.005845023992852021,0.004182023191794497,3.1401142313220007,0.022605286109075248,1.0751490000000001e-05,6.641722881774187e-06
4318,0.005665583002065351,0.0041686479096402565,3.1402871699820007,0.02213123527423855,9.67111e-06,1.5810796330228268e-06
4436,0.005439260120903982,0.004020673864767569,3.140586113617,0.021294929630838403,9.962010000000001e-06,4.5079824811666077e-07
4558,0.005267325190457032,0.003899947691781235,3.141017990344001,0.02064883516308597,9.680769999999998e-06,1.3299709031145432e-06
4683,0.005372562991739074,0.003770406857201986,3.1406875934240004,0.020669704598578847,1.131894e-05,1.0644612410686324e-06
4812,0.005262787555770515,0.0036588485185259007,3.14054031588,0.02017737484916565,9.61424e-06,1.3317305375512211e-06
4944,0.005060421349420464,0.003737003681196146,3.140768608417,0.0198100345559312,1.1284149999999998e-05,2.35525183356153e-06
5080,0.005098131292518523,0.003932382274723164,3.1408425196809997,0.02027715379590358,1.2551530000000002e-05,8.327447847063082e-06
5219,0.004954909564235527,0.003843164014888768,3.1410691703379996,0.01975484412213757,1.160736e-05,4.651806453758832e-06
5363,0.004931043322022859,0.003730452325538807,3.140682453851,0.019465781130464686,1.0764599999999999e-05,3.666369125668686e-06
5510,0.005111241620346885,0.0038176766970825717,3.141205081671,0.020103237619535846,1.295673e-05,2.361370078502621e-05
5661,0.004923372835216595,0.003708639351037,3.141049284582,0.019419066551249736,9.731080000000001e-06,1.8709745404224748e-06
5817,0.004807438060485202,0.0036799788217270176,3.1411449200629993,0.019075091784202847,1.2772859999999998e-05,2.0690112042317132e-05
5976,0.0048528080804479765,0.003399416679856039,3.1414056224960007,0.01867598916640956,9.67022e-06,2.934712439511964e-06
6140,0.004814943337204382,0.003553509458396553,3.141016286643,0.018852511044086997,8.773e-06,3.72063807930464e-06
6309,0.004715753043119608,0.003592430116537544,3.1405737834980005,0.018655418100425175,1.0973199999999999e-05,4.100353586625613e-06
6482,0.0046574760959173876,0.0034991300549353788,3.140617093491,0.018334013755909602,1.2883660000000002e-05,2.8612469035069804e-06
6660,0.004461111079181338,0.0034373454949915647,3.1403783783709995,0.017706707929836838,1.186847e-05,2.453949010587966e-06
6843,0.004878687641980143,0.003440760320309778,3.1399503141829994,0.01874580539762252,1.3180340000000001e-05,4.42904911978345e-06
7031,0.0048309780059683834,0.003501279854829296,3.1398094154389997,0.018720202167456724,1.4733109999999999e-05,1.264228837159658e-05
7224,0.004724772702995544,0.003509426584879691,3.139806201551,0.018462949976000634,1.2604090000000003e-05,7.815681951407412e-06
