NMeta,Pi,Time
81,3.1428816000,0.002206738
82,3.1424184000,0.002414488
83,3.1413288000,0.002201900
84,3.1414464000,0.002467788
85,3.1422768000,0.002190468
86,3.1421784000,0.002203592
87,3.1408416000,0.002422684
88,3.1407856000,0.002193203
89,3.1410696000,0.002204113
90,3.1415992000,0.002468049
91,3.1415792000,0.002117090
92,3.1418392000,0.002450576
93,3.1424064000,0.002204434
94,3.1413640000,0.002120026
95,3.1421224000,0.002458160
96,3.1419968000,0.002204564
97,3.1419712000,0.002487115
98,3.1408160000,0.002121408
99,3.1415912000,0.002206728
100,3.1409424000,0.002442932
101,3.1423904000,0.002109987
102,3.1420208000,0.002210666
103,3.1411224000,0.002490370
104,3.1404368000,0.002205025
105,3.1422448000,0.002437391
106,3.1416104000,0.002203613
107,3.1408240000,0.002197141
108,3.1418928000,0.002480451
109,3.1407928000,0.002154431
110,3.1406144000,0.002461446
111,3.1426448000,0.002203362
112,3.1408312000,0.002195878
113,3.1412256000,0.002501080
114,3.1428680000,0.002197821
115,3.1419376000,0.002199926
116,3.1414880000,0.002460965
117,3.1422712000,0.002196029
118,3.1417944000,0.002202761
119,3.1425328000,0.002384832
120,3.1421944000,0.002205927
121,3.1416872000,0.002472858
122,3.1417568000,0.002133521
123,3.1411152000,0.002239239
124,3.1406456000,0.002431540
125,3.1404352000,0.002205226
126,3.1407216000,0.002502974
127,3.1423144000,0.002199755
128,3.1409576000,0.002212880
129,3.1416136000,0.002477376
130,3.1426480000,0.002206839
131,3.1420872000,0.002204284
132,3.1414080000,0.002477005
133,3.1412800000,0.002205516
134,3.1421360000,0.002433855
135,3.1421656000,0.002201639
136,3.1418952000,0.002213160
137,3.1416336000,0.002437962
138,3.1429536000,0.002205286
139,3.1411976000,0.002141316
140,3.1416520000,0.002458470
141,3.1421576000,0.002219653
142,3.1423280000,0.002204214
143,3.1409088000,0.002428194
144,3.1433160000,0.002205385
145,3.1406392000,0.002435758
146,3.1425480000,0.002108485
147,3.1409432000,0.002204734
148,3.1413800000,0.002429206
149,3.1417120000,0.002510178
150,3.1427216000,0.002412183
151,3.1422976000,0.002205266
152,3.1417568000,0.002207079
153,3.1423592000,0.002436129
154,3.1414616000,0.002218591
155,3.1417264000,0.002455324
156,3.1419448000,0.002104146
157,3.1396392000,0.002202260
158,3.1423760000,0.002484078
159,3.1404552000,0.002109366
160,3.1417072000,0.002196349
161,3.1414344000,0.002492013
162,3.1411080000,0.002218169
163,3.1414576000,0.002207821
164,3.1418424000,0.002480001
165,3.1420936000,0.002198723
166,3.1400376000,0.002445346
167,3.1422608000,0.002145504
168,3.1403816000,0.002336612
169,3.1413696000,0.002543259
170,3.1421248000,0.002467126
171,3.1431728000,0.002458341
172,3.1424496000,0.002098796
173,3.1428720000,0.002213000
174,3.1401072000,0.002475492
175,3.1420720000,0.002124434
176,3.1422520000,0.002225974
177,3.1407608000,0.002432281
178,3.1419088000,0.002203602
179,3.1406520000,0.002401624
180,3.1418120000,0.002169589
181,3.1417672000,0.002214673
182,3.1413920000,0.002943360
183,3.1411544000,0.002177383
184,3.1421664000,0.002136136
185,3.1406648000,0.002460584
186,3.1418072000,0.002474030
187,3.1421024000,0.002453952
188,3.1421408000,0.002186070
189,3.1402928000,0.002182152
190,3.1415416000,0.002419768
191,3.1419240000,0.002264858
192,3.1415880000,0.002430778
193,3.1410744000,0.002231013
194,3.1404256000,0.002194575
195,3.1418880000,0.002451808
196,3.1418920000,0.002199064
197,3.1409192000,0.002434265
198,3.1408408000,0.002241263
199,3.1414648000,0.002183795
200,3.1418896000,0.003745194
