Iteration,Time
0,0.7511839310009236
1,0.7461799669999891
2,0.7229803680002078
3,0.7373768690013094
4,0.7158876949997648
5,0.7205585270003212
6,0.7525963779989979
7,0.7198978140004328
8,0.7390666659994167
9,0.7479293339983997
10,0.7542611059998308
11,0.737704090999614
12,0.7441812150009355
13,0.7535187000012229
14,0.7550944329996128
15,0.7216637109995645
16,0.7555813210001361
17,0.725322973999937
18,0.7440348719992471
19,0.7133155230003467
20,0.7264436859986745
21,0.7144859290001477
22,0.7201647620004223
23,0.7234332549996907
24,0.7183819540005061
25,0.7220746380007768
26,0.719141331001083
27,0.7328155030008929
28,0.7647913880009582
29,0.755129807999765
30,0.7563605360010115
31,0.7602319050001825
32,0.7421431190014118
33,0.7235504839991336
34,0.7481972739988123
35,0.7605426649988658
36,0.74737013900085
37,0.7752427129998978
38,0.7281268189999537
39,0.7098610229986662
40,0.7675260539999726
41,0.7300318060006248
42,0.7401471520006453
43,0.7244204079997871
44,0.7099401200011926
45,0.7469907810009317
46,0.7250948969995079
47,0.7234960420009884
48,0.7191720479986543
49,0.7084222170014982
50,0.7277370609990612
51,0.7449226690005162
52,0.7520581829994626
53,0.7118579019988829
54,0.7261040920002415
55,0.7228419410002971
56,0.7116533389998949
57,0.7097847410004761
58,0.7265358679997007
59,0.7252381749985943
60,0.711713693001002
61,0.7160373349997826
62,0.7437499000006937
63,0.7079955099998188
64,0.7399180450011045
65,0.7397707500003889
66,0.7386300709986244
67,0.7331705859996873
68,0.7157064679995528
69,0.7581409610011178
70,0.74845432300026
71,0.7254710189990874
72,0.7207384030007233
73,0.7379418250002345
74,0.749337272000048
75,0.7133543159998226
76,0.7159778940003889
77,0.7282645260002027
78,0.7399668859998201
79,0.7530995979996078
80,0.7264724500000739
81,0.7121405690013489
82,0.7357278010003938
83,0.7267883290005557
84,0.7287287330000254
85,0.7475058930012892
86,0.7333804379995854
87,0.7098862500006362
88,0.7170682209998631
89,0.7308246259999578
90,0.7179454779998196
91,0.7194212140002492
92,0.7116303670009074
93,0.7286131270011538
94,0.7224213959998451
95,0.7486877599985746
96,0.7176892799998313
97,0.7206642150013067
98,0.7126248540007509
99,0.717819432999022
