Iteration,Time
0,1.8572415399994497
1,1.8666505370001687
2,1.9228904270003113
3,1.8258628919993498
4,1.8617465349998383
5,1.8168012850001105
6,1.8112445839997235
7,1.8513765540010354
8,1.8202491650008596
9,1.8689754600000015
10,1.8394063920004555
11,1.8240215229998284
12,1.8666577300009521
13,1.8232689059987024
14,1.8219316190006793
15,1.857519699000477
16,1.7997429480001301
17,1.85455653399913
18,1.8026744150010927
19,1.9016732220006816
20,1.8215589329993236
21,1.8378746310008864
22,1.8337526610011992
23,1.8164281579993258
24,1.873126485001194
25,1.8919923370012839
26,1.8155682220003655
27,1.804377675998694
28,1.8863787400005094
29,1.808878593999907
30,1.8518041219995212
31,1.8742246159999922
32,1.903560267001012
33,1.8468926280002051
34,1.890643368000383
35,1.8443990499999927
36,1.9055379520013958
37,1.8398820920010621
38,1.9052239449993067
39,1.841648581001209
40,1.8847651769992808
41,1.8542721730009362
42,1.9003625940003985
43,1.8419299369998043
44,1.8651740879995486
45,1.9112705500010634
46,1.8759056759990926
47,1.8313887650001561
48,1.8469550139998319
49,1.9159144450004533
50,1.8092203430005611
51,1.8323964570008684
52,1.9105315599990718
53,1.8364800560011645
54,1.8362122859998635
55,1.924198160000742
56,1.858128066000063
57,1.843024912999681
58,1.826481326999783
59,1.8765929799992591
60,1.854664505999608
61,1.9092132069999934
62,1.8420344730002398
63,1.8980111010005203
64,1.8408927890013729
65,1.8763473110011546
66,1.8423692479991587
67,1.8352381260010588
68,1.8231087969998043
69,1.8559660880000592
70,1.862550376999934
71,1.830375723000543
72,1.827894448000734
73,1.805242853000891
74,1.8431604760007758
75,1.8286482259991317
76,1.8526069020008435
77,1.8940308050005115
78,1.8165053009997791
79,1.819303629001297
80,1.8434652549985913
81,1.878460318001089
82,1.8305396380001184
83,1.8516977740000584
84,1.8171253599994088
85,1.856472052000754
86,1.855936711999675
87,1.8295451610010787
88,1.8539231709983142
89,1.9091762079988257
90,1.9023136380001233
91,1.9116284789997735
92,1.8727632660011295
93,1.875662010999804
94,1.841449058998478
95,1.833163510000304
96,1.8362109129993769
97,1.8139847629990982
98,1.8663335849996656
99,1.820604017999358
