"N","min(U (0))","q1(U (0))","med(U (0))","q3(U (0))","max(U (0))","avg(U (0))","std(U (0))","sum(U (0))","min(U (1))","q1(U (1))","med(U (1))","q3(U (1))","max(U (1))","avg(U (1))","std(U (1))","sum(U (1))","min(U (2))","q1(U (2))","med(U (2))","q3(U (2))","max(U (2))","avg(U (2))","std(U (2))","sum(U (2))","min(U (Magnitude))","q1(U (Magnitude))","med(U (Magnitude))","q3(U (Magnitude))","max(U (Magnitude))","avg(U (Magnitude))","std(U (Magnitude))","sum(U (Magnitude))","min(p)","q1(p)","med(p)","q3(p)","max(p)","avg(p)","std(p)","sum(p)","min(rho)","q1(rho)","med(rho)","q3(rho)","max(rho)","avg(rho)","std(rho)","sum(rho)","min(vtkValidPointMask)","q1(vtkValidPointMask)","med(vtkValidPointMask)","q3(vtkValidPointMask)","max(vtkValidPointMask)","avg(vtkValidPointMask)","std(vtkValidPointMask)","sum(vtkValidPointMask)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","sum(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","sum(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","sum(Z)","vtkValidPointMask","Time"
1,6.755867481,6.755867481,6.755867481,6.755867481,6.755867481,6.755867481,0,6.755867481,-3.004867608e-07,-3.004867608e-07,-3.004867608e-07,-3.004867608e-07,-3.004867608e-07,-3.004867608e-07,0,-3.004867608e-07,0,0,0,0,0,0,0,0,6.755867481,6.755867481,6.755867481,6.755867481,6.755867481,6.755867481,0,6.755867481,55581.84375,55581.84375,55581.84375,55581.84375,55581.84375,55581.84375,0,55581.84375,999.9800415,999.9800415,999.9800415,999.9800415,999.9800415,999.9800415,0,999.9800415,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,5.5e-05
1,6.978532791,6.978532791,6.978532791,6.978532791,6.978532791,6.978532791,0,6.978532791,-7.581749628e-07,-7.581749628e-07,-7.581749628e-07,-7.581749628e-07,-7.581749628e-07,-7.581749628e-07,0,-7.581749628e-07,0,0,0,0,0,0,0,0,6.978532791,6.978532791,6.978532791,6.978532791,6.978532791,6.978532791,0,6.978532791,313176.375,313176.375,313176.375,313176.375,313176.375,313176.375,0,313176.375,1000.095032,1000.095032,1000.095032,1000.095032,1000.095032,1000.095032,0,1000.095032,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,6e-05
1,7.715852261,7.715852261,7.715852261,7.715852261,7.715852261,7.715852261,0,7.715852261,-5.130978593e-07,-5.130978593e-07,-5.130978593e-07,-5.130978593e-07,-5.130978593e-07,-5.130978593e-07,0,-5.130978593e-07,0,0,0,0,0,0,0,0,7.715852261,7.715852261,7.715852261,7.715852261,7.715852261,7.715852261,0,7.715852261,1008051.375,1008051.375,1008051.375,1008051.375,1008051.375,1008051.375,0,1008051.375,1000.412476,1000.412476,1000.412476,1000.412476,1000.412476,1000.412476,0,1000.412476,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,6.5e-05
1,9.226799011,9.226799011,9.226799011,9.226799011,9.226799011,9.226799011,0,9.226799011,-8.28533615e-08,-8.28533615e-08,-8.28533615e-08,-8.28533615e-08,-8.28533615e-08,-8.28533615e-08,0,-8.28533615e-08,0,0,0,0,0,0,0,0,9.226799011,9.226799011,9.226799011,9.226799011,9.226799011,9.226799011,0,9.226799011,1925427.5,1925427.5,1925427.5,1925427.5,1925427.5,1925427.5,0,1925427.5,1000.827515,1000.827515,1000.827515,1000.827515,1000.827515,1000.827515,0,1000.827515,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,7e-05
1,11.31169987,11.31169987,11.31169987,11.31169987,11.31169987,11.31169987,0,11.31169987,-1.329088661e-07,-1.329088661e-07,-1.329088661e-07,-1.329088661e-07,-1.329088661e-07,-1.329088661e-07,0,-1.329088661e-07,0,0,0,0,0,0,0,0,11.31169987,11.31169987,11.31169987,11.31169987,11.31169987,11.31169987,0,11.31169987,2347815,2347815,2347815,2347815,2347815,2347815,0,2347815,1001.02002,1001.02002,1001.02002,1001.02002,1001.02002,1001.02002,0,1001.02002,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,7.5e-05
1,13.40450096,13.40450096,13.40450096,13.40450096,13.40450096,13.40450096,0,13.40450096,-6.470229863e-08,-6.470229863e-08,-6.470229863e-08,-6.470229863e-08,-6.470229863e-08,-6.470229863e-08,0,-6.470229863e-08,0,0,0,0,0,0,0,0,13.40450096,13.40450096,13.40450096,13.40450096,13.40450096,13.40450096,0,13.40450096,2003573.75,2003573.75,2003573.75,2003573.75,2003573.75,2003573.75,0,2003573.75,1000.867493,1000.867493,1000.867493,1000.867493,1000.867493,1000.867493,0,1000.867493,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,8e-05
1,15.05460072,15.05460072,15.05460072,15.05460072,15.05460072,15.05460072,0,15.05460072,4.246305991e-07,4.246305991e-07,4.246305991e-07,4.246305991e-07,4.246305991e-07,4.246305991e-07,0,4.246305991e-07,0,0,0,0,0,0,0,0,15.05460072,15.05460072,15.05460072,15.05460072,15.05460072,15.05460072,0,15.05460072,1371903.125,1371903.125,1371903.125,1371903.125,1371903.125,1371903.125,0,1371903.125,1000.577515,1000.577515,1000.577515,1000.577515,1000.577515,1000.577515,0,1000.577515,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,8.5e-05
1,16.18112564,16.18112564,16.18112564,16.18112564,16.18112564,16.18112564,0,16.18112564,9.40730672e-07,9.40730672e-07,9.40730672e-07,9.40730672e-07,9.40730672e-07,9.40730672e-07,0,9.40730672e-07,0,0,0,0,0,0,0,0,16.18112564,16.18112564,16.18112564,16.18112564,16.18112564,16.18112564,0,16.18112564,891322.25,891322.25,891322.25,891322.25,891322.25,891322.25,0,891322.25,1000.360046,1000.360046,1000.360046,1000.360046,1000.360046,1000.360046,0,1000.360046,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,9e-05
1,16.92967415,16.92967415,16.92967415,16.92967415,16.92967415,16.92967415,0,16.92967415,3.07043905e-07,3.07043905e-07,3.07043905e-07,3.07043905e-07,3.07043905e-07,3.07043905e-07,0,3.07043905e-07,0,0,0,0,0,0,0,0,16.92967415,16.92967415,16.92967415,16.92967415,16.92967415,16.92967415,0,16.92967415,608846.4375,608846.4375,608846.4375,608846.4375,608846.4375,608846.4375,0,608846.4375,1000.232483,1000.232483,1000.232483,1000.232483,1000.232483,1000.232483,0,1000.232483,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,9.5e-05
1,17.45077515,17.45077515,17.45077515,17.45077515,17.45077515,17.45077515,0,17.45077515,3.070590537e-07,3.070590537e-07,3.070590537e-07,3.070590537e-07,3.070590537e-07,3.070590537e-07,0,3.070590537e-07,0,0,0,0,0,0,0,0,17.45077515,17.45077515,17.45077515,17.45077515,17.45077515,17.45077515,0,17.45077515,439814.375,439814.375,439814.375,439814.375,439814.375,439814.375,0,439814.375,1000.152527,1000.152527,1000.152527,1000.152527,1000.152527,1000.152527,0,1000.152527,1,1,1,1,1,1,0,1,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0.1449999958,0,0.1449999958,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,0.0001
