"N","min(U (0))","q1(U (0))","med(U (0))","q3(U (0))","max(U (0))","avg(U (0))","std(U (0))","sum(U (0))","min(U (1))","q1(U (1))","med(U (1))","q3(U (1))","max(U (1))","avg(U (1))","std(U (1))","sum(U (1))","min(U (2))","q1(U (2))","med(U (2))","q3(U (2))","max(U (2))","avg(U (2))","std(U (2))","sum(U (2))","min(U (Magnitude))","q1(U (Magnitude))","med(U (Magnitude))","q3(U (Magnitude))","max(U (Magnitude))","avg(U (Magnitude))","std(U (Magnitude))","sum(U (Magnitude))","min(p)","q1(p)","med(p)","q3(p)","max(p)","avg(p)","std(p)","sum(p)","min(rho)","q1(rho)","med(rho)","q3(rho)","max(rho)","avg(rho)","std(rho)","sum(rho)","min(vtkValidPointMask)","q1(vtkValidPointMask)","med(vtkValidPointMask)","q3(vtkValidPointMask)","max(vtkValidPointMask)","avg(vtkValidPointMask)","std(vtkValidPointMask)","sum(vtkValidPointMask)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","sum(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","sum(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","sum(Z)","vtkValidPointMask","Time"
1,0.0003730252502,0.0003730252502,0.0003730252502,0.0003730252502,0.0003730252502,0.0003730252502,0,0.0003730252502,-1.247247106e-08,-1.247247106e-08,-1.247247106e-08,-1.247247106e-08,-1.247247106e-08,-1.247247106e-08,0,-1.247247106e-08,0,0,0,0,0,0,0,0,0.0003730252502,0.0003730252502,0.0003730252502,0.0003730252502,0.0003730252502,0.0003730252502,0,0.0003730252502,9999492,9999492,9999492,9999492,9999492,9999492,0,9999492,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,0,1004.48999,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,5.5e-05
1,0.00348401512,0.00348401512,0.00348401512,0.00348401512,0.00348401512,0.00348401512,0,0.00348401512,-1.000250407e-07,-1.000250407e-07,-1.000250407e-07,-1.000250407e-07,-1.000250407e-07,-1.000250407e-07,0,-1.000250407e-07,0,0,0,0,0,0,0,0,0.00348401512,0.00348401512,0.00348401512,0.00348401512,0.00348401512,0.00348401512,0,0.00348401512,9995205,9995205,9995205,9995205,9995205,9995205,0,9995205,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,1004.48999,0,1004.48999,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,6e-05
1,0.02163482644,0.02163482644,0.02163482644,0.02163482644,0.02163482644,0.02163482644,0,0.02163482644,-5.399472798e-07,-5.399472798e-07,-5.399472798e-07,-5.399472798e-07,-5.399472798e-07,-5.399472798e-07,0,-5.399472798e-07,0,0,0,0,0,0,0,0,0.02163482644,0.02163482644,0.02163482644,0.02163482644,0.02163482644,0.02163482644,0,0.02163482644,9969912,9969912,9969912,9969912,9969912,9969912,0,9969912,1004.484985,1004.484985,1004.484985,1004.484985,1004.484985,1004.484985,0,1004.484985,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,6.5e-05
1,0.0917885378,0.0917885378,0.0917885378,0.0917885378,0.0917885378,0.0917885378,0,0.0917885378,-2.028868948e-06,-2.028868948e-06,-2.028868948e-06,-2.028868948e-06,-2.028868948e-06,-2.028868948e-06,0,-2.028868948e-06,0,0,0,0,0,0,0,0,0.0917885378,0.0917885378,0.0917885378,0.0917885378,0.0917885378,0.0917885378,0,0.0917885378,9871331,9871331,9871331,9871331,9871331,9871331,0,9871331,1004.434998,1004.434998,1004.434998,1004.434998,1004.434998,1004.434998,0,1004.434998,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,7e-05
1,0.2709724009,0.2709724009,0.2709724009,0.2709724009,0.2709724009,0.2709724009,0,0.2709724009,-5.474333193e-06,-5.474333193e-06,-5.474333193e-06,-5.474333193e-06,-5.474333193e-06,-5.474333193e-06,0,-5.474333193e-06,0,0,0,0,0,0,0,0,0.2709724009,0.2709724009,0.2709724009,0.2709724009,0.2709724009,0.2709724009,0,0.2709724009,9618723,9618723,9618723,9618723,9618723,9618723,0,9618723,1004.32251,1004.32251,1004.32251,1004.32251,1004.32251,1004.32251,0,1004.32251,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,7.5e-05
1,0.5636091232,0.5636091232,0.5636091232,0.5636091232,0.5636091232,0.5636091232,0,0.5636091232,-1.106658146e-05,-1.106658146e-05,-1.106658146e-05,-1.106658146e-05,-1.106658146e-05,-1.106658146e-05,0,-1.106658146e-05,0,0,0,0,0,0,0,0,0.5636091232,0.5636091232,0.5636091232,0.5636091232,0.5636091232,0.5636091232,0,0.5636091232,9209516,9209516,9209516,9209516,9209516,9209516,0,9209516,1004.137512,1004.137512,1004.137512,1004.137512,1004.137512,1004.137512,0,1004.137512,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,8e-05
1,0.842697382,0.842697382,0.842697382,0.842697382,0.842697382,0.842697382,0,0.842697382,-2.099829726e-05,-2.099829726e-05,-2.099829726e-05,-2.099829726e-05,-2.099829726e-05,-2.099829726e-05,0,-2.099829726e-05,0,0,0,0,0,0,0,0,0.842697382,0.842697382,0.842697382,0.842697382,0.842697382,0.842697382,0,0.842697382,8838317,8838317,8838317,8838317,8838317,8838317,0,8838317,1003.964966,1003.964966,1003.964966,1003.964966,1003.964966,1003.964966,0,1003.964966,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,8.5e-05
1,0.9630982876,0.9630982876,0.9630982876,0.9630982876,0.9630982876,0.9630982876,0,0.9630982876,-8.383897512e-05,-8.383897512e-05,-8.383897512e-05,-8.383897512e-05,-8.383897512e-05,-8.383897512e-05,0,-8.383897512e-05,0,0,0,0,0,0,0,0,0.9630982876,0.9630982876,0.9630982876,0.9630982876,0.9630982876,0.9630982876,0,0.9630982876,8721044,8721044,8721044,8721044,8721044,8721044,0,8721044,1003.914978,1003.914978,1003.914978,1003.914978,1003.914978,1003.914978,0,1003.914978,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,9e-05
1,0.9364489913,0.9364489913,0.9364489913,0.9364489913,0.9364489913,0.9364489913,0,0.9364489913,-0.0006315483479,-0.0006315483479,-0.0006315483479,-0.0006315483479,-0.0006315483479,-0.0006315483479,0,-0.0006315483479,0,0,0,0,0,0,0,0,0.9364492297,0.9364492297,0.9364492297,0.9364492297,0.9364492297,0.9364492297,0,0.9364492297,8821345,8821345,8821345,8821345,8821345,8821345,0,8821345,1003.959961,1003.959961,1003.959961,1003.959961,1003.959961,1003.959961,0,1003.959961,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,9.5e-05
1,0.8655532598,0.8655532598,0.8655532598,0.8655532598,0.8655532598,0.8655532598,0,0.8655532598,-0.004118375946,-0.004118375946,-0.004118375946,-0.004118375946,-0.004118375946,-0.004118375946,0,-0.004118375946,0,0,0,0,0,0,0,0,0.865563035,0.865563035,0.865563035,0.865563035,0.865563035,0.865563035,0,0.865563035,8959211,8959211,8959211,8959211,8959211,8959211,0,8959211,1004.02002,1004.02002,1004.02002,1004.02002,1004.02002,1004.02002,0,1004.02002,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,0.0001
1,0.7999822497,0.7999822497,0.7999822497,0.7999822497,0.7999822497,0.7999822497,0,0.7999822497,-0.01956956461,-0.01956956461,-0.01956956461,-0.01956956461,-0.01956956461,-0.01956956461,0,-0.01956956461,0,0,0,0,0,0,0,0,0.8002215624,0.8002215624,0.8002215624,0.8002215624,0.8002215624,0.8002215624,0,0.8002215624,9021300,9021300,9021300,9021300,9021300,9021300,0,9021300,1004.048706,1004.048706,1004.048706,1004.048706,1004.048706,1004.048706,0,1004.048706,1,1,1,1,1,1,0,1,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0.02999999933,0,0.02999999933,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0.0549999997,0,0.0549999997,0,0,0,0,0,0,0,0,1,0.000105
