"U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.8914175034,-0.0103077013,0,9042246,1004.059021,1,0.0380000025,0.0380000025,0.0549999997,0
0.894071579,-0.01085356809,0,9045858,1004.060486,1,0.03849999979,0.03849999979,0.0549999997,0
0.8967256546,-0.0113994386,0,9049470,1004.062012,1,0.0390000008,0.0390000008,0.0549999997,0
0.8993797898,-0.01194530912,0,9053083,1004.063477,1,0.03950000182,0.03950000182,0.0549999997,0
0.9020338655,-0.01249118149,0,9056695,1004.065002,1,0.04000000283,0.04000000283,0.0549999997,0
0.9055911899,-0.01319436543,0,9059409,1004.066345,1,0.04050000012,0.04050000012,0.0549999997,0
0.9091484547,-0.01389755402,0,9062123,1004.067627,1,0.04100000113,0.04100000113,0.0549999997,0
0.9127057791,-0.01460074354,0,9064837,1004.06897,1,0.04150000215,0.04150000215,0.0549999997,0
0.9162630439,-0.01530393213,0,9067551,1004.070251,1,0.04200000316,0.04200000316,0.0549999997,0
0.9198203087,-0.01600711606,0,9070265,1004.071594,1,0.04250000045,0.04250000045,0.0549999997,0
0.9233776331,-0.01671030559,0,9072979,1004.072876,1,0.04300000146,0.04300000146,0.0549999997,0
0.9272660613,-0.01747321896,0,9075434,1004.074097,1,0.04350000247,0.04350000247,0.0549999997,0
0.9318167567,-0.01835557632,0,9077373,1004.075012,1,0.04400000349,0.04400000349,0.0549999997,0
0.9363674521,-0.01923792809,0,9079312,1004.075928,1,0.04450000077,0.04450000077,0.0549999997,0
0.9409181476,-0.02012028545,0,9081251,1004.076904,1,0.04500000179,0.04500000179,0.0549999997,0
0.945468843,-0.02100264467,0,9083191,1004.07782,1,0.0455000028,0.0455000028,0.0549999997,0
0.9500195384,-0.02188499458,0,9085130,1004.078735,1,0.04600000009,0.04600000009,0.0549999997,0
0.9545702338,-0.0227673538,0,9087069,1004.079712,1,0.0465000011,0.0465000011,0.0549999997,0
0.959872365,-0.02377929166,0,9088529,1004.080505,1,0.04700000212,0.04700000212,0.0549999997,0
0.9655501246,-0.02485601977,0,9089751,1004.081238,1,0.04750000313,0.04750000313,0.0549999997,0
0.9712278247,-0.02593274042,0,9090972,1004.082031,1,0.04800000042,0.04800000042,0.0549999997,0
0.9769055843,-0.02700946853,0,9092193,1004.082764,1,0.04850000143,0.04850000143,0.0549999997,0
0.982583344,-0.02808619663,0,9093415,1004.083496,1,0.04900000244,0.04900000244,0.0549999997,0
0.9882611632,-0.02916292474,0,9094636,1004.08429,1,0.04950000346,0.04950000346,0.0549999997,0
0.9939388633,-0.03023964539,0,9095857,1004.085022,1,0.05000000075,0.05000000075,0.0549999997,0
1.000909686,-0.03151389956,0,9096409,1004.085388,1,0.05050000176,0.05050000176,0.0549999997,0
1.007880569,-0.03278815374,0,9096960,1004.085754,1,0.05100000277,0.05100000277,0.0549999997,0
1.014851451,-0.03406240419,0,9097512,1004.086121,1,0.05150000378,0.05150000378,0.0549999997,0
1.021822333,-0.03533665091,0,9098063,1004.086548,1,0.05200000107,0.05200000107,0.0549999997,0
1.028793216,-0.03661090508,0,9098615,1004.086914,1,0.05250000209,0.05250000209,0.0549999997,0
1.035763979,-0.03788515553,0,9099166,1004.08728,1,0.0530000031,0.0530000031,0.0549999997,0
1.04323709,-0.03922308609,0,9099515,1004.087524,1,0.05350000039,0.05350000039,0.0549999997,0
1.05171454,-0.04068839923,0,9099459,1004.087524,1,0.0540000014,0.0540000014,0.0549999997,0
1.060191989,-0.04215370864,0,9099403,1004.087524,1,0.05450000241,0.05450000241,0.0549999997,0
1.068669438,-0.04361902177,0,9099347,1004.087524,1,0.05500000343,0.05500000343,0.0549999997,0
1.077146769,-0.04508432001,0,9099291,1004.087524,1,0.05550000072,0.05550000072,0.0549999997,0
1.085624218,-0.04654963315,0,9099235,1004.087524,1,0.05600000173,0.05600000173,0.0549999997,0
1.094101787,-0.04801494256,0,9099179,1004.087524,1,0.05650000274,0.05650000274,0.0549999997,0
1.10378015,-0.04959636182,0,9098762,1004.087158,1,0.05700000376,0.05700000376,0.0549999997,0
1.114059091,-0.05123581737,0,9098164,1004.086609,1,0.05750000104,0.05750000104,0.0549999997,0
1.124338031,-0.05287528783,0,9097567,1004.085999,1,0.05800000206,0.05800000206,0.0549999997,0
1.13461709,-0.05451475456,0,9096970,1004.085449,1,0.05850000307,0.05850000307,0.0549999997,0
1.14489603,-0.05615422502,0,9096372,1004.0849,1,0.05900000408,0.05900000408,0.0549999997,0
1.155174851,-0.05779368058,0,9095775,1004.084351,1,0.05950000137,0.05950000137,0.0549999997,0
1.165453911,-0.05943315104,0,9095177,1004.08374,1,0.06000000238,0.06000000238,0.0549999997,0
1.177960396,-0.06121796742,0,9094107,1004.083008,1,0.0605000034,0.0605000034,0.0549999997,0
1.190466762,-0.06300276518,0,9093036,1004.082275,1,0.06100000069,0.06100000069,0.0549999997,0
1.202973127,-0.06478758156,0,9091965,1004.081543,1,0.0615000017,0.0615000017,0.0549999997,0
1.215479612,-0.06657239795,0,9090894,1004.08075,1,0.06200000271,0.06200000271,0.0549999997,0
1.227985978,-0.06835719943,0,9089824,1004.080017,1,0.0625,0.0625,0.0549999997,0
1.240492463,-0.07014201581,0,9088753,1004.079285,1,0.06300000101,0.06300000101,0.0549999997,0
1.253949642,-0.07196304202,0,9087545,1004.078552,1,0.06350000203,0.06350000203,0.0549999997,0
1.26930809,-0.07385648787,0,9086063,1004.078003,1,0.06400000304,0.06400000304,0.0549999997,0
1.284666657,-0.07574994117,0,9084580,1004.077454,1,0.06450000405,0.06450000405,0.0549999997,0
1.300025105,-0.07764339447,0,9083098,1004.076904,1,0.06500000507,0.06500000507,0.0549999997,0
1.315383554,-0.07953684032,0,9081616,1004.076355,1,0.06550000608,0.06550000608,0.0549999997,0
1.330741882,-0.08143026382,0,9080133,1004.075745,1,0.06599999964,0.06599999964,0.0549999997,0
1.34610033,-0.08332370967,0,9078651,1004.075195,1,0.06650000066,0.06650000066,0.0549999997,0
1.363991261,-0.08526050299,0,9076922,1004.074646,1,0.06700000167,0.06700000167,0.0549999997,0
1.383148432,-0.08721896261,0,9075069,1004.074097,1,0.06750000268,0.06750000268,0.0549999997,0
1.402305484,-0.08917742223,0,9073217,1004.073486,1,0.0680000037,0.0680000037,0.0549999997,0
1.421462655,-0.09113588184,0,9071364,1004.072937,1,0.06850000471,0.06850000471,0.0549999997,0
1.440619826,-0.09309434146,0,9069511,1004.072388,1,0.06900000572,0.06900000572,0.0549999997,0
1.45977664,-0.09505277127,0,9067659,1004.071838,1,0.06949999928,0.06949999928,0.0549999997,0
1.478933811,-0.09701123089,0,9065806,1004.071228,1,0.0700000003,0.0700000003,0.0549999997,0
1.503351808,-0.09896832705,0,9063588,1004.070312,1,0.07050000131,0.07050000131,0.0549999997,0
1.527769804,-0.1009254232,0,9061371,1004.069397,1,0.07100000232,0.07100000232,0.0549999997,0
1.5521878,-0.1028825119,0,9059153,1004.06842,1,0.07150000334,0.07150000334,0.0549999997,0
1.576605797,-0.1048396081,0,9056936,1004.067505,1,0.07200000435,0.07200000435,0.0549999997,0
1.601023793,-0.1067967042,0,9054718,1004.066589,1,0.07250000536,0.07250000536,0.0549999997,0
1.62544179,-0.1087538004,0,9052501,1004.065613,1,0.07300000638,0.07300000638,0.0549999997,0
1.65239799,-0.1106927171,0,9050133,1004.064514,1,0.07349999994,0.07349999994,0.0549999997,0
1.684431672,-0.1125953645,0,9047465,1004.062988,1,0.07400000095,0.07400000095,0.0549999997,0
1.716465354,-0.1144980192,0,9044797,1004.061523,1,0.07450000197,0.07450000197,0.0549999997,0
1.748499036,-0.116400674,0,9042129,1004.059998,1,0.07500000298,0.07500000298,0.0549999997,0
1.780532598,-0.1183033213,0,9039461,1004.058472,1,0.07550000399,0.07550000399,0.0549999997,0
1.81256628,-0.1202059761,0,9036792,1004.057007,1,0.07600000501,0.07600000501,0.0549999997,0
1.844599962,-0.1221086308,0,9034124,1004.055481,1,0.07650000602,0.07650000602,0.0549999997,0
1.884293795,-0.1239297464,0,9030988,1004.054016,1,0.07699999958,0.07699999958,0.0549999997,0
1.927818418,-0.1257101297,0,9027617,1004.05249,1,0.0775000006,0.0775000006,0.0549999997,0
1.97134316,-0.1274905205,0,9024247,1004.051025,1,0.07800000161,0.07800000161,0.0549999997,0
2.014867783,-0.1292709112,0,9020876,1004.0495,1,0.07850000262,0.07850000262,0.0549999997,0
2.058392525,-0.131051302,0,9017506,1004.048035,1,0.07900000364,0.07900000364,0.0549999997,0
2.101917267,-0.1328316927,0,9014135,1004.046509,1,0.07950000465,0.07950000465,0.0549999997,0
2.145442247,-0.1346120834,0,9010765,1004.044983,1,0.08000000566,0.08000000566,0.0549999997,0
2.207531691,-0.1361902505,0,9006231,1004.042969,1,0.08050000668,0.08050000668,0.0549999997,0
2.269619942,-0.1377683878,0,9001698,1004.040894,1,0.08100000024,0.08100000024,0.0549999997,0
2.331709385,-0.1393465549,0,8997164,1004.038818,1,0.08150000125,0.08150000125,0.0549999997,0
2.393798828,-0.140924722,0,8992631,1004.036743,1,0.08200000226,0.08200000226,0.0549999997,0
2.455888033,-0.142502889,0,8988097,1004.034668,1,0.08250000328,0.08250000328,0.0549999997,0
2.517977476,-0.1440810561,0,8983564,1004.032654,1,0.08300000429,0.08300000429,0.0549999997,0
2.589611292,-0.1455529779,0,8978289,1004.030212,1,0.0835000053,0.0835000053,0.0549999997,0
2.680333376,-0.1468124092,0,8971530,1004.026978,1,0.08400000632,0.08400000632,0.0549999997,0
2.771054268,-0.1480718255,0,8964771,1004.023804,1,0.08449999988,0.08449999988,0.0549999997,0
2.861776352,-0.1493312567,0,8958012,1004.02063,1,0.08500000089,0.08500000089,0.0549999997,0
2.952498436,-0.150590688,0,8951254,1004.017456,1,0.08550000191,0.08550000191,0.0549999997,0
3.043220758,-0.1518501192,0,8944495,1004.014282,1,0.08600000292,0.08600000292,0.0549999997,0
3.133942842,-0.1531095505,0,8937736,1004.011047,1,0.08650000393,0.08650000393,0.0549999997,0
3.26416564,-0.1540380269,0,8928452,1004.007019,1,0.08700000495,0.08700000495,0.0549999997,0
3.41413784,-0.1548010409,0,8917905,1004.002502,1,0.08750000596,0.08750000596,0.0549999997,0
3.564109802,-0.1555640548,0,8907359,1003.997986,1,0.08800000697,0.08800000697,0.0549999997,0
3.714079857,-0.1563270539,0,8896812,1003.99353,1,0.08850000054,0.08850000054,0.0549999997,0
3.864051819,-0.1570900679,0,8886265,1003.989014,1,0.08900000155,0.08900000155,0.0549999997,0
4.014024258,-0.1578530669,0,8875718,1003.984497,1,0.08950000256,0.08950000256,0.0549999997,0
4.16399622,-0.1586160809,0,8865171,1003.97998,1,0.09000000358,0.09000000358,0.0549999997,0
4.379047394,-0.1584865302,0,8846331,1003.971741,1,0.09050000459,0.09050000459,0.0549999997,0
4.594099045,-0.1583569795,0,8827491,1003.963501,1,0.0910000056,0.0910000056,0.0549999997,0
4.809150219,-0.1582274437,0,8808651,1003.955261,1,0.09150000662,0.09150000662,0.0549999997,0
5.024198532,-0.158097893,0,8789811,1003.947021,1,0.09200000018,0.09200000018,0.0549999997,0
5.239249706,-0.1579683423,0,8770971,1003.938721,1,0.09250000119,0.09250000119,0.0549999997,0
5.45430088,-0.1578387916,0,8752131,1003.930481,1,0.09300000221,0.09300000221,0.0549999997,0
5.752242565,-0.1571060866,0,8729176,1003.920166,1,0.09350000322,0.09350000322,0.0549999997,0
6.215960979,-0.1551671177,0,8697990,1003.905762,1,0.09400000423,0.09400000423,0.0549999997,0
6.679679394,-0.1532281488,0,8666805,1003.891296,1,0.09450000525,0.09450000525,0.0549999997,0
7.143397808,-0.151289165,0,8635619,1003.876831,1,0.09500000626,0.09500000626,0.0549999997,0
7.607116222,-0.1493501961,0,8604434,1003.862427,1,0.09550000727,0.09550000727,0.0549999997,0
8.070827484,-0.147411257,0,8573249,1003.847961,1,0.09600000083,0.09600000083,0.0549999997,0
8.534545898,-0.1454722732,0,8542063,1003.833557,1,0.09650000185,0.09650000185,0.0549999997,0
9.07875061,-0.1401248425,0,8495957,1003.812378,1,0.09700000286,0.09700000286,0.0549999997,0
9.66319561,-0.1330732405,0,8442390,1003.787781,1,0.09750000387,0.09750000387,0.0549999997,0
10.24764061,-0.1260216534,0,8388823,1003.763245,1,0.09800000489,0.09800000489,0.0549999997,0
10.83208561,-0.1189700589,0,8335256,1003.738647,1,0.0985000059,0.0985000059,0.0549999997,0
11.41653156,-0.1119184643,0,8281689,1003.714111,1,0.09900000691,0.09900000691,0.0549999997,0
12.00096798,-0.1048669741,0,8228123,1003.689514,1,0.09950000048,0.09950000048,0.0549999997,0
12.58541298,-0.0978153795,0,8174556,1003.664978,1,0.1000000015,0.1000000015,0.0549999997,0
12.92581081,-0.08502268791,0,8077941,1003.620911,1,0.1005000025,0.1005000025,0.0549999997,0
13.26620865,-0.07223000377,0,7981326,1003.576843,1,0.1010000035,0.1010000035,0.0549999997,0
13.60660648,-0.05943731219,0,7884711,1003.532776,1,0.1015000045,0.1015000045,0.0549999997,0
